t,true_x,true_y,true_theta,dr_x,dr_y,dr_theta,ekf_x,ekf_y,ekf_theta,ekf_var_x,ekf_var_y,ekf_var_theta,enc_v,enc_omega,imu_yaw,n_lidar_clusters,min_obstacle_range
5.2000,7.75649,5.43893,0.51325,7.74560,5.44095,0.52143,7.74961,5.43349,0.51466,3.406936e-03,3.212173e-03,9.804708e-05,1.13750,-0.06657,0.49778,3,5.21957
5.2500,7.80615,5.46692,0.51326,7.79550,5.46962,0.51994,7.79955,5.46209,0.51339,3.415753e-03,3.220609e-03,9.804499e-05,1.15100,-0.02998,0.51904,3,5.20630
5.3000,7.85580,5.49490,0.51327,7.84536,5.49816,0.51577,7.84984,5.48987,0.50886,3.424566e-03,3.229024e-03,9.804307e-05,1.14900,-0.08339,0.50002,4,5.15838
5.3500,7.90546,5.52289,0.51328,7.89531,5.52648,0.51876,7.90007,5.51770,0.51173,3.433382e-03,3.237431e-03,9.804130e-05,1.14850,0.05995,0.50864,3,5.15472
5.4000,7.95511,5.55088,0.51328,7.94529,5.55502,0.51822,7.95006,5.54621,0.51146,3.442203e-03,3.245866e-03,9.803966e-05,1.15100,-0.01096,0.51811,2,5.16361
5.4500,8.00477,5.57887,0.51329,7.99481,5.58325,0.51635,7.99989,5.57390,0.50942,3.450990e-03,3.254190e-03,9.803815e-05,1.14000,-0.03728,0.50512,2,5.11122
5.5000,8.05442,5.60686,0.51330,8.04461,5.61153,0.51629,8.04955,5.60244,0.50987,3.459796e-03,3.262568e-03,9.803675e-05,1.14550,-0.00114,0.52235,2,5.16960
5.5500,8.10408,5.63485,0.51330,8.09379,5.63944,0.50589,8.09855,5.63068,0.50000,3.468556e-03,3.270798e-03,9.803546e-05,1.13100,-0.20815,0.51312,2,5.07613
5.6000,8.15373,5.66284,0.51331,8.14326,5.66685,0.50425,8.14780,5.65846,0.49892,3.477326e-03,3.279017e-03,9.803428e-05,1.13100,-0.03265,0.51261,2,5.02710
5.6500,8.20339,5.69083,0.51331,8.19347,5.69456,0.50500,8.19806,5.68608,0.49982,3.486148e-03,3.287400e-03,9.803318e-05,1.14700,0.01500,0.50337,2,5.09825
5.7000,8.25304,5.71882,0.51332,8.24320,5.72205,0.50470,8.24716,5.71469,0.50066,3.494936e-03,3.295676e-03,9.803216e-05,1.13650,-0.00608,0.52881,3,5.07355
5.7500,8.30269,5.74681,0.51332,8.29294,5.74953,0.50714,8.29674,5.74246,0.50351,3.503723e-03,3.303954e-03,9.803123e-05,1.13650,0.04879,0.51343,2,5.01500
5.8000,8.35235,5.77480,0.51332,8.34329,5.77750,0.50808,8.34706,5.77048,0.50464,3.512556e-03,3.312396e-03,9.803037e-05,1.15200,0.01879,0.50936,3,5.03505
5.8500,8.40200,5.80279,0.51333,8.39327,5.80533,0.50873,8.39759,5.79731,0.50460,3.521363e-03,3.320757e-03,9.802957e-05,1.14400,0.01302,0.48775,2,5.05795
5.9000,8.45166,5.83079,0.51333,8.44237,5.83272,0.51203,8.44639,5.82524,0.50853,3.530108e-03,3.328917e-03,9.802883e-05,1.12450,0.06596,0.52388,3,4.97774
5.9500,8.50131,5.85878,0.51333,8.49289,5.86111,0.51428,8.49681,5.85381,0.51107,3.538959e-03,3.337437e-03,9.802815e-05,1.15900,0.04500,0.51818,3,5.03738
6.0000,8.55096,5.88677,0.51334,8.54252,5.88915,0.51228,8.54693,5.88096,0.50847,3.547746e-03,3.345765e-03,9.802753e-05,1.14000,-0.03993,0.49374,2,4.98568
6.0500,8.60062,5.91476,0.51334,8.59270,5.91737,0.50765,8.59684,5.90968,0.50440,3.556574e-03,3.354209e-03,9.802695e-05,1.15150,-0.09271,0.51824,3,4.95130
6.1000,8.65027,5.94275,0.51334,8.64197,5.94477,0.51208,8.64584,5.93756,0.50936,3.565329e-03,3.362400e-03,9.802641e-05,1.12750,0.08858,0.52241,2,4.96228
6.1500,8.69992,5.97075,0.51334,8.69259,5.97323,0.51023,8.69598,5.96690,0.50836,3.574188e-03,3.370950e-03,9.802592e-05,1.16150,-0.03683,0.52892,2,4.92445
6.2000,8.74958,5.99874,0.51334,8.74102,6.00033,0.51105,8.74403,5.99468,0.50981,3.582882e-03,3.378965e-03,9.802546e-05,1.11000,0.01633,0.52546,2,4.94265
6.2500,8.79923,6.02673,0.51335,8.78991,6.02775,0.50832,8.79291,6.02212,0.50715,3.591609e-03,3.387095e-03,9.802504e-05,1.12100,-0.05460,0.50872,2,4.89472
6.3000,8.84888,6.05472,0.51335,8.83875,6.05495,0.50237,8.84148,6.04979,0.50163,3.600331e-03,3.395191e-03,9.802466e-05,1.11800,-0.11892,0.51222,2,4.97184
