t,true_x,true_y,true_theta,dr_x,dr_y,dr_theta,ekf_x,ekf_y,ekf_theta,ekf_var_x,ekf_var_y,ekf_var_theta,enc_v,enc_omega,imu_yaw,n_lidar_clusters,min_obstacle_range
4.3500,6.91228,4.96326,0.51290,6.91654,4.93715,0.50569,6.89813,4.97093,0.51449,6.979235e-03,5.062110e-03,4.876417e-04,1.20000,-0.23060,0.47821,8,4.73697
4.4000,6.96194,4.99123,0.51294,6.96367,4.96325,0.50769,6.94543,4.99672,0.51573,7.028898e-03,5.097775e-03,4.876431e-04,1.07750,0.04001,0.50078,10,4.80471
4.4500,7.01161,5.01920,0.51297,7.01075,4.98944,0.52928,6.99333,5.02142,0.53534,7.078532e-03,5.133469e-03,4.876444e-04,1.07750,0.43183,0.49675,10,4.70713
4.5000,7.06127,5.04718,0.51301,7.06110,5.01889,0.54782,7.04273,5.05255,0.55534,7.128838e-03,5.173161e-03,4.876455e-04,1.16650,0.37081,0.58376,10,4.89861
4.5500,7.11093,5.07515,0.51303,7.10999,5.04872,0.53733,7.09091,5.08362,0.54577,7.178387e-03,5.212473e-03,4.876465e-04,1.14550,-0.20983,0.56378,13,4.86483
4.6000,7.16059,5.10313,0.51306,7.15445,5.07521,0.55098,7.13546,5.10992,0.55883,7.226702e-03,5.247213e-03,4.876474e-04,1.03500,0.27302,0.54728,8,5.01497
4.6500,7.21026,5.13111,0.51308,7.20116,5.10391,0.55684,7.18182,5.13921,0.56492,7.275502e-03,5.284683e-03,4.876483e-04,1.09650,0.11733,0.56938,6,4.89148
4.7000,7.25992,5.15909,0.51311,7.25173,5.13539,0.55466,7.23619,5.16396,0.55516,7.325471e-03,5.325984e-03,4.876490e-04,1.19150,-0.04369,0.40720,8,4.95726
4.7500,7.30958,5.18707,0.51313,7.30212,5.16661,0.54527,7.28653,5.19526,0.54582,7.375617e-03,5.366849e-03,4.876497e-04,1.18550,-0.18789,0.54706,9,5.01628
4.8000,7.35924,5.21505,0.51315,7.34543,5.19288,0.54225,7.33255,5.21678,0.53773,7.423639e-03,5.400730e-03,4.876503e-04,1.01300,-0.06031,0.43861,12,5.00114
4.8500,7.40889,5.24303,0.51316,7.38710,5.21799,0.54421,7.37646,5.23800,0.53572,7.471343e-03,5.432845e-03,4.876509e-04,0.97300,0.03910,0.45833,12,4.88011
4.9000,7.45855,5.27101,0.51318,7.43263,5.24554,0.56275,7.42380,5.26243,0.55132,7.520323e-03,5.468500e-03,4.876514e-04,1.06450,0.37098,0.49397,9,5.09305
4.9500,7.50821,5.29900,0.51319,7.48575,5.27905,0.56601,7.47746,5.29503,0.55427,7.571531e-03,5.511978e-03,4.876519e-04,1.25600,0.06520,0.54809,11,5.19002
5.0000,7.55787,5.32698,0.51321,7.53373,5.30954,0.56037,7.52939,5.31875,0.54201,7.621045e-03,5.550910e-03,4.876523e-04,1.13700,-0.11283,0.41290,9,5.21522
5.0500,7.60752,5.35497,0.51322,7.57850,5.33763,0.56355,7.57653,5.34279,0.54173,7.669770e-03,5.586428e-03,4.876527e-04,1.05700,0.06360,0.47424,6,4.96047
5.1000,7.65718,5.38295,0.51323,7.62487,5.36693,0.56995,7.62464,5.36915,0.54607,7.719047e-03,5.623501e-03,4.876530e-04,1.09700,0.12799,0.50590,10,5.09932
5.1500,7.70684,5.41094,0.51324,7.67351,5.39810,0.55471,7.67590,5.39591,0.52736,7.769023e-03,5.662958e-03,4.876533e-04,1.15550,-0.30475,0.45970,8,5.10344
5.2000,7.75649,5.43893,0.51325,7.72160,5.42790,0.54147,7.72687,5.42081,0.51031,7.819115e-03,5.701053e-03,4.876536e-04,1.13150,-0.26483,0.43591,7,5.03694
5.2500,7.80615,5.46692,0.51326,7.77233,5.45841,0.53498,7.77751,5.45148,0.50568,7.870270e-03,5.740864e-03,4.876538e-04,1.18400,-0.12989,0.54214,8,5.08095
5.3000,7.85580,5.49490,0.51327,7.82294,5.48840,0.51763,7.83007,5.47808,0.48632,7.921424e-03,5.780293e-03,4.876541e-04,1.17650,-0.34695,0.44704,9,5.08874
5.3500,7.90546,5.52289,0.51328,7.87402,5.51748,0.52962,7.88225,5.50517,0.49791,7.972944e-03,5.819288e-03,4.876543e-04,1.17550,0.23975,0.49009,8,5.25530
